tree,real_lambda_1,est_lambda_1,abs_diff_lambda_1,rel_diff_lambda_1,real_psi_1,est_psi_1,abs_diff_psi_1,rel_diff_psi_1,real_rho_1,est_rho_1,abs_diff_rho_1,rel_diff_rho_1,real_R0_1,est_R0_1,abs_diff_R0_1,rel_diff_R0_1,real_infectious_time_1,est_infectious_time_1,abs_diff_infectious_time_1,rel_diff_infectious_time_1,real_lambda_2,est_lambda_2,real_psi_2,est_psi_2,real_rho_2,est_rho_2,real_R0_2,est_R0_2,real_infectious_time_2,est_infectious_time_2,real_t_1,est_t_1,abs_diff_lambda_2,rel_diff_lambda_2,abs_diff_psi_2,rel_diff_psi_2,abs_diff_rho_2,rel_diff_rho_2,abs_diff_R0_2,rel_diff_R0_2,abs_diff_infectious_time_2,rel_diff_infectious_time_2,abs_diff_t_1,rel_diff_t_1
22,0.497134,0.3811881075199788,-0.11594589248002124,-23.32286515909619,0.054166,0.1,0.04583400000000001,84.6176568326995,0.717806,0.7178057451411984,-2.548588016182407e-07,-2.548588016182407e-05,9.17797,3.811881075199788,-5.366088924800213,-58.46705671080002,18.4618,10.0,-8.4618,-45.834100683573645,0.226663,0.32000395627308753,0.0909982,0.449519059317169,0.682438,0.6824382494826391,2.49085,0.7118807303947952,10.9892,2.224599778970497,18.5054,18.5054,0.09334095627308753,41.18049980503546,0.35852085931716904,100.0,2.4948263910307134e-07,2.4948263910307134e-05,-1.7789692696052049,-71.4201686012889,-8.764600221029504,-79.75649019973704,0.0,0.0
23,0.175763,0.13913910369583085,-0.03662389630416915,-20.837091028355882,0.0519106,0.10968505378414142,0.05777445378414142,100.0,0.381137,0.38113690634466957,-9.365533043537155e-08,-9.365533043537155e-06,3.38588,1.2685329394983438,-2.1173470605016558,-62.534616126432596,19.2639,9.11701244153087,-10.14688755846913,-52.67307013880435,0.52893,1.69062948654268,0.0561812,0.9664135407880222,0.394389,0.39438915743621883,9.41472,1.7493851391652953,17.7996,1.0347537133891884,60.5782,60.5782,1.16169948654268,100.0,0.9102323407880222,100.0,1.5743621883945735e-07,1.5743621883945735e-05,-7.665334860834705,-81.41861745048928,-16.764846286610812,-94.18664625390913,0.0,0.0
24,0.610324,0.9507949265783606,0.34047092657836064,55.785275784396596,0.117734,0.1,-0.017734,-15.062768613994256,0.235451,0.23545128076245658,2.8076245658925636e-07,2.8076245658925636e-05,5.18393,9.507949265783605,4.324019265783605,83.41199178583824,8.49373,10.0,1.5062700000000007,17.733904892196957,2.62065,3.235524200479895,0.380175,1.1788510425369485,0.597449,0.5974490571574177,6.89326,2.7446420995793326,2.63036,0.8482835947177416,16.7931,16.7931,0.6148742004798953,23.462660045404586,0.7986760425369486,100.0,5.7157417687747625e-08,5.7157417687747625e-06,-4.148617900420668,-60.18368522905951,-1.7820764052822584,-67.75028533289202,0.0,0.0
25,0.903299,0.9169832371280012,0.013684237128001264,1.5149177767274473,0.122331,0.10706976465763894,-0.015261235342361054,-12.475362207748693,0.345546,0.34554571950647067,-2.804935293476696e-07,-2.8049352934766958e-05,7.38404,8.564352784935151,1.1803127849351513,15.984647766468646,8.17453,9.339704847559451,1.1651748475594506,14.253722814148952,,,,,,,,,,,11.0091,,,,,,,,,,,,,
26,0.509511,0.36194154993690575,-0.1475694500630943,-28.962956651199733,0.0758468,0.1,0.0241532,31.84471856426375,0.593077,0.5930766763760756,-3.236239243253891e-07,-3.236239243253891e-05,6.71764,3.6194154993690573,-3.098224500630943,-46.12072841996509,13.1845,10.0,-3.1845,-24.153361902233684,0.411237,0.5265108840271792,0.0900357,0.1736714555044998,0.521472,0.5214719401805203,4.56749,3.031648940222864,11.1067,5.757998613503243,21.5073,21.5073,0.11527388402717914,28.031009862239813,0.08363575550449981,92.89177015839252,-5.981947970301604e-08,-5.981947970301604e-06,-1.5358410597771361,-33.62549364699509,-5.348701386496757,-48.15743097856931,0.0,0.0
27,0.511828,0.4930495791911066,-0.01877842080889336,-3.6688928329230444,0.0762939,0.1,0.023706100000000008,31.072077846328483,0.15168,0.15168021789794017,2.1789794016346953e-07,2.1789794016346953e-05,6.70863,4.930495791911065,-1.778134208088935,-26.50517628918177,13.1072,10.0,-3.1072000000000006,-23.706054687500004,,,,,,,,,,,21.4686,,,,,,,,,,,,,
28,0.555797,0.4825300737369775,-0.0732669262630225,-13.182317692075074,0.0602399,0.25217450566237154,0.19193460566237153,100.0,0.0794762,0.07947620539675256,5.3967525587284015e-09,5.396752558728402e-07,9.22639,1.9134768301400844,-7.312913169859916,-79.26082866494822,16.6003,3.965507922275332,-12.634792077724669,-76.11182977250212,0.570267,3.8792255685431574,0.0619472,1.7375264078427626,0.201456,0.20145608594681963,9.2057,2.2326138762745114,16.1428,0.5755308209914096,22.1768,22.1768,3.3089585685431575,100.0,1.6755792078427625,100.0,8.594681963347561e-08,8.594681963347561e-06,-6.973086123725489,-75.74748388200233,-15.56726917900859,-96.43475220537076,0.0,0.0
29,2.00095,2.0019761689903475,0.0010261689903474647,0.05128408957482519,0.376782,0.3577544131375579,-0.019027586862442103,-5.050025442415535,0.1761,0.17609959157046645,-4.084295335549104e-07,-4.084295335549104e-05,5.31064,5.5959510084941435,0.28531100849414326,5.372441146342875,2.65406,2.7952135970311462,0.14115359703114638,5.318402637135045,,,,,,,,,,,6.3474,,,,,,,,,,,,,
30,0.817228,0.6637172286283863,-0.15351077137161362,-18.784325961862987,0.144955,0.1,-0.044954999999999995,-31.0130730226622,0.066988,0.06698803248602828,3.248602827021774e-08,3.2486028270217737e-06,5.63779,6.637172286283863,0.999382286283863,17.726490101331606,6.89867,10.0,3.10133,44.9554769252624,0.526344,0.8505183652835291,0.0536352,0.19227017488802747,0.259848,0.2598480625848902,9.81342,4.423558494076609,18.6445,5.2010146689801,13.4644,13.4644,0.32417436528352905,61.589828189079576,0.13863497488802748,100.0,6.258489015920077e-08,6.258489015920077e-06,-5.389861505923392,-54.92337539739858,-13.4434853310199,-72.10429526680737,0.0,0.0
31,0.0679498,0.07603766227850274,0.008087862278502736,11.902702110238346,0.0477505,0.1,0.052249500000000004,100.0,0.557301,0.5573013934677117,3.934677116346208e-07,3.934677116346208e-05,1.42302,0.7603766227850274,-0.6626433772149726,-46.56599184937475,20.9422,10.0,-10.9422,-52.24952488277258,0.215329,0.23826936239043695,0.0639855,0.1,0.102372,0.10237200788829581,3.36528,2.3826936239043692,15.6285,10.0,194.124,194.124,0.022940362390436952,10.653633458770976,0.036014500000000005,56.28540841284354,7.8882958082227e-09,7.888295808222701e-07,-0.9825863760956306,-29.1977599514938,-5.628500000000001,-36.01433278945517,0.0,0.0
32,5.10446,5.150382847903214,0.04592284790321344,0.8996612355315436,0.577959,0.5900457712353261,0.012086771235326088,2.0912852356873217,0.0712309,0.07123090701786175,7.017861750058252e-09,7.017861750058252e-07,8.83186,8.728785289182428,-0.10307471081757313,-1.1670781785215472,1.73023,1.6947837756830109,-0.03544622431698907,-2.0486423375498672,,,,,,,,,,,3.11333,,,,,,,,,,,,,
33,0.642631,0.4395810652397841,-0.20304993476021588,-31.59666041012897,0.0886136,0.27307719135408454,0.18446359135408452,100.0,0.285671,0.285670672470694,-3.275293060100992e-07,-3.275293060100992e-05,7.25205,1.6097318969045749,-5.642318103095425,-77.80307779311264,11.285,3.661968233382603,-7.623031766617397,-67.55012642106688,0.09305,0.16738772916206193,0.0497569,0.1,0.111136,0.11113601221139216,1.87009,1.6738772916206193,20.0977,10.0,13.4639,13.4639,0.07433772916206194,79.89009044821273,0.050243100000000006,100.0,1.2211392161343149e-08,1.2211392161343149e-06,-0.19621270837938076,-10.492153232164268,-10.0977,-50.24306263900844,0.0,0.0
