	data_type	type	sampled_tips	lambda	lambda_min	lambda_max	psi	psi_min	psi_max	upsilon	upsilon_min	upsilon_max	phi	phi_min	phi_max	p	p_min	p_max
93.tree	tree	real	994	0.612687552367726			0.06486701275485504			0.5613097685426345			25.904849612976175			0.4301089941932318		
94.tree	tree	bd		0.612431	0.580785	0.644836	0.226115	0.198855	0.254719	0			0.226115			0.466723	0.466723	0.466723
94.tree	tree	real	645	0.5654953155807383			0.06454087623943675			0.3302296012592991			23.231294280037222			0.4667233163685045		
94.tree	tree	bdct		0.558276	0.526712	0.590683	0.118202	0.0989738	0.140134	0.391302	0.341625	0.442424	26.015	21.755	31.1389	0.466723	0.466723	0.466723
95.tree	tree	bd		0.345003	0.323503	0.367883	0.293783	0.272053	0.316665	0			0.293783			0.422268	0.422268	0.422268
95.tree	tree	real	624	0.26317134471098635			0.11335972540091548			0.652961436725651			13.256843778987262			0.4222680896838417		
95.tree	tree	bdct		0.274849	0.256129	0.294871	0.169159	0.151424	0.188229	0.61667	0.558255	0.67357	13.3363	11.5554	15.3656	0.422268	0.422268	0.422268
96.tree	tree	bdct		0.494889	0.468844	0.522532	0.22039	0.198108	0.244227	0.623202	0.577558	0.668094	37.5069	33.4081	42.0076	0.514621	0.514621	0.514621
96.tree	tree	bd		0.601595	0.571683	0.632095	0.415587	0.386436	0.446092	0			0.415587			0.514621	0.514621	0.514621
96.tree	tree	real	977	0.47227042786930806			0.12533851833351034			0.6473906595195426			35.65304977573			0.5146211524493951		
97.tree	tree	real	708	0.20065384362694683			0.07420640224869486			0.4215844499780033			18.043625145827495			0.2516773517617959		
97.tree	tree	bd		0.255506	0.242582	0.268854	0.170981	0.156374	0.186238	0			0.170981			0.251677	0.251677	0.251677
97.tree	tree	bdct		0.203855	0.192761	0.215297	0.0901043	0.0789663	0.102501	0.444471	0.396726	0.493297	16.1146	13.9912	18.4838	0.251677	0.251677	0.251677
98.tree	tree	real	599	0.7978958204466577			0.09743367971320278			0.0330749104496341			4.903424581276366			0.6804212947816297		
98.tree	tree	bd		0.785856	0.741401	0.831596	0.113518	0.0950578	0.134496	0			0.113518			0.680421	0.680421	0.680421
98.tree	tree	bdct		0.78719	0.741892	0.833883	0.109586	0.0900747	0.131518	0.0139094	1e-06	0.0437618	7.30176	0.001	500000.0	0.680421	0.680421	0.680421
99.tree	tree	bdct		0.943526	0.898425	0.989259	0.226171	0.18747	0.27003	0.400491	0.348083	0.454353	12.4726	10.5156	14.7627	0.208533	0.208533	0.208533
99.tree	tree	bd		1.11577	1.06515	1.16817	0.52624	0.469817	0.586289	0			0.52624			0.208533	0.208533	0.208533
99.tree	tree	real	650	0.8659781395463781			0.09175916312859317			0.4039211780720423			10.318768136307378			0.208532910174342		
